"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MPX","Marine Products Corporation","18.95","$655.02M","n/a","Capital Goods","Marine Transportation","https://www.nasdaq.com/symbol/mpx",
"HZO","MarineMax, Inc.","19.1","$510.03M","1998","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/hzo",
"MRNS","Marinus Pharmaceuticals, Inc.","6.11","$247.58M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mrns",
"MKL","Markel Corporation","1178.91","$16.38B","1986","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mkl",
"MKTX","MarketAxess Holdings, Inc.","190.81","$7.17B","2004","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/mktx",
"MRLN","Marlin Business Services Corp.","30.7","$381.3M","2003","Finance","Major Banks","https://www.nasdaq.com/symbol/mrln",
"VAC","Marriot Vacations Worldwide Corporation","122.35","$3.25B","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/vac",
"MAR","Marriott International","129.13","$45.63B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/mar",
"MBII","Marrone Bio Innovations, Inc.","2.03","$224.25M","2013","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/mbii",
"MMC","Marsh & McLennan Companies, Inc.","82.82","$41.82B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/mmc",
"MRTN","Marten Transport, Ltd.","22.25","$1.22B","1986","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/mrtn",
"MLM","Martin Marietta Materials, Inc.","204.76","$12.89B","1994","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/mlm",
"MMLP","Martin Midstream Partners L.P.","13.35","$521.35M","2002","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/mmlp",
"MRVL","Marvell Technology Group Ltd.","21.57","$14.13B","2000","Technology","Semiconductors","https://www.nasdaq.com/symbol/mrvl",
"MAS","Masco Corporation","39.39","$12.23B","n/a","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/mas",
"MASI","Masimo Corporation","108.26","$5.61B","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/masi",
"DOOR","Masonite International Corporation","67.25","$1.86B","n/a","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/door",
"MTZ","MasTec, Inc.","47.35","$3.81B","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/mtz",
"MHH","Mastech Digital, Inc","20.38","$111.31M","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/mhh",
"MA","Mastercard Incorporated","202.01","$224.01B","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ma",
"MTDR","Matador Resources Company","32.78","$3.81B","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/mtdr",
"MTCH","Match Group, Inc.","38.06","$10.54B","2015","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/mtch",
"MTLS","Materialise NV","12.64","$598.19M","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mtls",
"MTRN","Materion Corporation","63.8","$1.29B","n/a","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/mtrn",
"MTNB","Matinas Biopharma Holdings, Inc.","0.361","$33.95M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mtnb",
"MPAC","Matlin & Partners Acquisition Corporation","10.04","$94.25M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/mpac",
"MPACU","Matlin & Partners Acquisition Corporation","10.85","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/mpacu",
"MPACW","Matlin & Partners Acquisition Corporation","0.7257","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/mpacw",
"MTRX","Matrix Service Company","20.3","$544.5M","1990","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/mtrx",
"MATX","Matson, Inc.","36.14","$1.54B","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/matx",
